counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y,    ctrl.cmd.phi,    ctrl.cmd.theta
2302,-678,270,-6067,-30,-6745,-122,0.001363,-0.173166,-1.370885,0.026611,-1.632812,-0.035645,-3.339844,3.207031,-0.988281,5305,-120,-270,0,7878,8042,7874,7901,0.001845,0.000077,-0.001221,-0.383789
2303,-4032,539,-8284,-259,-9522,10,0.001302,-0.177691,-1.370859,-0.029297,-2.310791,-0.003418,-3.339844,3.207031,-0.988281,5307,-92,184,1,7870,8037,7882,7904,0.001980,0.000081,-0.001221,-0.383789
2304,1840,-592,-12193,-146,-9559,224,0.001303,-0.182406,-1.370869,-0.001709,-2.319824,0.048828,-3.339844,3.207031,-0.988281,5310,-111,225,-6,7890,8040,7879,7884,0.002122,0.000084,-0.001221,-0.383789
2305,3043,-514,-12157,4,-6747,104,0.001304,-0.185510,-1.370819,0.034912,-1.633301,0.019531,-3.339844,3.207031,-0.988281,5313,-136,-213,-8,7885,8041,7895,7868,0.002271,0.000087,-0.001221,-0.383789
2306,-1832,7,-7564,202,-6880,-150,0.001553,-0.188616,-1.370842,0.083252,-1.665771,-0.042480,-3.339844,3.207031,-0.988281,5315,-172,-198,0,7892,8035,7893,7888,0.002426,0.000091,-0.001221,-0.383789
2307,-3387,417,-10590,-108,-9825,-39,0.001555,-0.193403,-1.370888,0.007568,-2.384766,-0.015381,-3.339844,3.207031,-0.988281,5318,-135,300,5,7875,8035,7898,7882,0.002588,0.000094,-0.001221,-0.383789
2308,2964,-785,-12505,170,-8946,215,0.001681,-0.197510,-1.370801,0.075439,-2.170166,0.046631,-3.339844,3.207031,-0.988281,5321,-182,201,0,7892,8040,7931,7887,0.002758,0.000098,-0.001465,-0.383789
2309,2575,-422,-10887,307,-6113,93,0.001931,-0.200249,-1.370751,0.108887,-1.478516,0.016846,-3.339844,3.207031,-0.988281,5324,-209,-240,0,7920,8063,7939,7870,0.002934,0.000102,-0.001465,-0.383789
2310,-3318,178,-6340,337,-7083,-117,0.002119,-0.203613,-1.370859,0.116211,-1.715332,-0.034424,-3.339844,3.207031,-0.988281,5326,-223,-84,8,7915,8052,7940,7887,0.003118,0.000105,-0.001465,-0.383789
2311,-4386,187,-7704,52,-9380,37,0.002183,-0.208165,-1.370917,0.046631,-2.276123,0.003174,-3.339844,3.207031,-0.988281,5329,-190,313,10,7890,8054,7957,7869,0.003310,0.000109,-0.001465,-0.383789
2312,1104,-153,-13235,93,-8890,241,0.002310,-0.212409,-1.370744,0.056641,-2.156494,0.052979,-3.339844,3.207031,-0.988281,5333,-199,285,3,7877,8079,7983,7863,0.003509,0.000113,-0.001465,-0.383789
